datetime,PT08.S1(CO)
3/10/04 18:00,1360
3/10/04 19:00,1292
3/10/04 20:00,1402
3/10/04 21:00,1376
3/10/04 22:00,1272
3/10/04 23:00,1197
3/11/04 0:00,1185
3/11/04 1:00,1136
3/11/04 2:00,1094
3/11/04 3:00,1010
3/11/04 4:00,1011
3/11/04 5:00,1066
3/11/04 6:00,1052
3/11/04 7:00,1144
3/11/04 8:00,1333
3/11/04 9:00,1351
3/11/04 10:00,1233
3/11/04 11:00,1179
3/11/04 12:00,1236
3/11/04 13:00,1286
3/11/04 14:00,1371
3/11/04 15:00,1310
3/11/04 16:00,1292
3/11/04 17:00,1383
3/11/04 18:00,1581
3/11/04 19:00,1776
3/11/04 20:00,1640
3/11/04 21:00,1313
3/11/04 22:00,965
3/11/04 23:00,913
3/12/04 0:00,1080
3/12/04 1:00,1044
3/12/04 2:00,988
3/12/04 3:00,889
3/12/04 4:00,831
3/12/04 5:00,847
3/12/04 6:00,927
3/12/04 7:00,1091
3/12/04 8:00,1587
3/12/04 9:00,1545
3/12/04 10:00,1350
3/12/04 11:00,1263
3/12/04 12:00,1206
3/12/04 13:00,1252
3/12/04 14:00,1287
3/12/04 15:00,1353
3/12/04 16:00,1309
3/12/04 17:00,1274
3/12/04 18:00,1510
3/12/04 19:00,1525
3/12/04 20:00,1843
3/12/04 21:00,1598
3/12/04 22:00,1484
3/12/04 23:00,1677
3/13/04 0:00,1280
3/13/04 1:00,1196
3/13/04 2:00,1184
3/13/04 3:00,1172
3/13/04 4:00,1147
3/13/04 5:00,978
3/13/04 6:00,1100
3/13/04 7:00,1112
3/13/04 8:00,1336
3/13/04 9:00,1408
3/13/04 10:00,1447
3/13/04 11:00,1542
3/13/04 12:00,1451
3/13/04 13:00,1328
3/13/04 14:00,1207
3/13/04 15:00,1240
3/13/04 16:00,1306
3/13/04 17:00,1326
3/13/04 18:00,1473
3/13/04 19:00,1609
3/13/04 20:00,1611
3/13/04 21:00,1621
3/13/04 22:00,1444
3/13/04 23:00,1418
3/14/04 0:00,1534
3/14/04 1:00,1484
3/14/04 2:00,1367
3/14/04 3:00,1344
3/14/04 4:00,1130
3/14/04 5:00,1062
3/14/04 6:00,1076
3/14/04 7:00,1028
3/14/04 8:00,1155
3/14/04 9:00,1235
3/14/04 10:00,1332
3/14/04 11:00,1445
3/14/04 12:00,1416
3/14/04 13:00,1281
3/14/04 14:00,1207
3/14/04 15:00,1258
3/14/04 16:00,1458
3/14/04 17:00,1438
3/14/04 18:00,1478
3/14/04 19:00,1808
3/14/04 20:00,1898
3/14/04 21:00,1560
3/14/04 22:00,1324
3/14/04 23:00,1349
3/15/04 0:00,1239
3/15/04 1:00,1239
3/15/04 2:00,1224
3/15/04 3:00,1078
3/15/04 4:00,1078
3/15/04 5:00,1075
3/15/04 6:00,1157
3/15/04 7:00,1314
3/15/04 8:00,1797
3/15/04 9:00,1961
3/15/04 10:00,1771
3/15/04 11:00,1564
3/15/04 12:00,1430
3/15/04 13:00,1417
3/15/04 14:00,1400
3/15/04 15:00,1317
3/15/04 16:00,1318
3/15/04 17:00,1445
3/15/04 18:00,1917
3/15/04 19:00,2040
