Month,CO2%
1949-01,53.8
1949-02,53.6
1949-03,53.5
1949-04,53.5
1949-05,53.4
1949-06,53.1
1949-07,52.7
1949-08,52.4
1949-09,52.2
1949-10,52
1949-11,52
1949-12,52.4
1950-01,53
1950-02,54
1950-03,54.9
1950-04,56
1950-05,56.8
1950-06,56.8
1950-07,56.4
1950-08,55.7
1950-09,55
1950-10,54.3
1950-11,53.2
1950-12,52.3
1951-01,51.6
1951-02,51.2
1951-03,50.8
1951-04,50.5
1951-05,50
1951-06,49.2
1951-07,48.4
1951-08,47.9
1951-09,47.6
1951-10,47.5
1951-11,47.5
1951-12,47.6
1952-01,48.1
1952-02,49
1952-03,50
1952-04,51.1
1952-05,51.8
1952-06,51.9
1952-07,51.7
1952-08,51.2
1952-09,50
1952-10,48.3
1952-11,47
1952-12,45.8
1953-01,45.6
1953-02,46
1953-03,46.9
1953-04,47.8
1953-05,48.2
1953-06,48.3
1953-07,47.9
1953-08,47.2
1953-09,47.2
1953-10,48.1
1953-11,49.4
1953-12,50.6
1954-01,51.5
1954-02,51.6
1954-03,51.2
1954-04,50.5
1954-05,50.1
1954-06,49.8
1954-07,49.6
1954-08,49.4
1954-09,49.3
1954-10,49.2
1954-11,49.3
1954-12,49.7
1955-01,50.3
1955-02,51.3
1955-03,52.8
1955-04,54.4
1955-05,56
1955-06,56.9
1955-07,57.5
1955-08,57.3
1955-09,56.6
1955-10,56
1955-11,55.4
1955-12,55.4
1956-01,56.4
1956-02,57.2
1956-03,58
1956-04,58.4
1956-05,58.4
1956-06,58.1
1956-07,57.7
1956-08,57
1956-09,56
1956-10,54.7
1956-11,53.2
1956-12,52.1
1957-01,51.6
1957-02,51
1957-03,50.5
1957-04,50.4
1957-05,51
1957-06,51.8
1957-07,52.4
1957-08,53
1957-09,53.4
1957-10,53.6
1957-11,53.7
1957-12,53.8
1958-01,53.8
1958-02,53.8
1958-03,53.3
1958-04,53
1958-05,52.9
1958-06,53.4
1958-07,54.6
1958-08,56.4
1958-09,58
1958-10,59.4
1958-11,60.2
1958-12,60
1959-01,59.4
1959-02,58.4
1959-03,57.6
1959-04,56.9
1959-05,56.4
1959-06,56
1959-07,55.7
1959-08,55.3
1959-09,55
1959-10,54.4
1959-11,53.7
1959-12,52.8
1960-01,51.6
1960-02,50.6
1960-03,49.4
1960-04,48.8
1960-05,48.5
1960-06,48.7
1960-07,49.2
1960-08,49.8
1960-09,50.4
1960-10,50.7
1960-11,50.9
1960-12,50.7
1961-01,50.5
1961-02,50.4
1961-03,50.2
1961-04,50.4
1961-05,51.2
1961-06,52.3
1961-07,53.2
1961-08,53.9
1961-09,54.1
1961-10,54
1961-11,53.6
1961-12,53.2
1962-01,53
1962-02,52.8
1962-03,52.3
1962-04,51.9
1962-05,51.6
1962-06,51.6
1962-07,51.4
1962-08,51.2
1962-09,50.7
1962-10,50
1962-11,49.4
1962-12,49.3
1963-01,49.7
1963-02,50.6
1963-03,51.8
1963-04,53
1963-05,54
1963-06,55.3
1963-07,55.9
1963-08,55.9
1963-09,54.6
1963-10,53.5
1963-11,52.4
1963-12,52.1
1964-01,52.3
1964-02,53
1964-03,53.8
1964-04,54.6
1964-05,55.4
1964-06,55.9
1964-07,55.9
1964-08,55.2
1964-09,54.4
1964-10,53.7
1964-11,53.6
1964-12,53.6
1965-01,53.2
1965-02,52.5
1965-03,52
1965-04,51.4
1965-05,51
1965-06,50.9
1965-07,52.4
1965-08,53.5
1965-09,55.6
1965-10,58
1965-11,59.5
1965-12,60
1966-01,60.4
1966-02,60.5
1966-03,60.2
1966-04,59.7
1966-05,59
1966-06,57.6
1966-07,56.4
1966-08,55.2
1966-09,54.5
1966-10,54.1
1966-11,54.1
1966-12,54.4
1967-01,55.5
1967-02,56.2
1967-03,57
1967-04,57.3
1967-05,57.4
1967-06,57
1967-07,56.4
1967-08,55.9
1967-09,55.5
1967-10,55.3
1967-11,55.2
1967-12,55.4
1968-01,56
1968-02,56.5
1968-03,57.1
1968-04,57.3
1968-05,56.8
1968-06,55.6
1968-07,55
1968-08,54.1
1968-09,54.3
1968-10,55.3
1968-11,56.4
1968-12,57.2
1969-01,57.8
1969-02,58.3
1969-03,58.6
1969-04,58.8
1969-05,58.8
1969-06,58.6
1969-07,58
1969-08,57.4
1969-09,57
1969-10,56.4
1969-11,56.3
1969-12,56.4
1970-01,56.4
1970-02,56
1970-03,55.2
1970-04,54
1970-05,53
1970-06,52
1970-07,51.6
1970-08,51.6
1970-09,51.1
1970-10,50.4
1970-11,50
1970-12,50
1971-01,52
1971-02,54
1971-03,55.1
1971-04,54.5
1971-05,52.8
1971-06,51.4
1971-07,50.8
1971-08,51.2
1971-09,52
1971-10,52.8
1971-11,53.8
1971-12,54.5
1972-01,54.9
1972-02,54.9
1972-03,54.8
1972-04,54.4
1972-05,53.7
1972-06,53.3
1972-07,52.8
1972-08,52.6
1972-09,52.6
1972-10,53
1972-11,54.3
1972-12,56
1973-01,57
1973-02,58
1973-03,58.6
1973-04,58.5
1973-05,58.3
1973-06,57.8
1973-07,57.3
1973-08,57
