Month,GasRate(ft3/min)
1949-01,-0.109
1949-02,0
1949-03,0.178
1949-04,0.339
1949-05,0.373
1949-06,0.441
1949-07,0.461
1949-08,0.348
1949-09,0.127
1949-10,-0.18
1949-11,-0.588
1949-12,-1.055
1950-01,-1.421
1950-02,-1.52
1950-03,-1.302
1950-04,-0.814
1950-05,-0.475
1950-06,-0.193
1950-07,0.088
1950-08,0.435
1950-09,0.771
1950-10,0.866
1950-11,0.875
1950-12,0.891
1951-01,0.987
1951-02,1.263
1951-03,1.775
1951-04,1.976
1951-05,1.934
1951-06,1.866
1951-07,1.832
1951-08,1.767
1951-09,1.608
1951-10,1.265
1951-11,0.79
1951-12,0.36
1952-01,0.115
1952-02,0.088
1952-03,0.331
1952-04,0.645
1952-05,0.96
1952-06,1.409
1952-07,2.67
1952-08,2.834
1952-09,2.812
1952-10,2.483
1952-11,1.929
1952-12,1.485
1953-01,1.214
1953-02,1.239
1953-03,1.608
1953-04,1.905
1953-05,2.023
1953-06,1.815
1953-07,0.535
1953-08,0.122
1953-09,0.009
1953-10,0.164
1953-11,0.671
1953-12,1.019
1954-01,1.146
1954-02,1.155
1954-03,1.112
1954-04,1.121
1954-05,1.223
1954-06,1.257
1954-07,1.157
1954-08,0.913
1954-09,0.62
1954-10,0.255
1954-11,-0.28
1954-12,-1.08
1955-01,-1.551
1955-02,-1.799
1955-03,-1.825
1955-04,-1.456
1955-05,-0.944
1955-06,-0.57
1955-07,-0.431
1955-08,-0.577
1955-09,-0.96
1955-10,-1.616
1955-11,-1.875
1955-12,-1.891
1956-01,-1.746
1956-02,-1.474
1956-03,-1.201
1956-04,-0.927
1956-05,-0.524
1956-06,0.04
1956-07,0.788
1956-08,0.943
1956-09,0.93
1956-10,1.006
1956-11,1.137
1956-12,1.198
1957-01,1.054
1957-02,0.595
1957-03,-0.08
1957-04,-0.314
1957-05,-0.288
1957-06,-0.153
1957-07,-0.109
1957-08,-0.187
1957-09,-0.255
1957-10,-0.229
1957-11,-0.007
1957-12,0.254
1958-01,0.33
1958-02,0.102
1958-03,-0.423
1958-04,-1.139
1958-05,-2.275
1958-06,-2.594
1958-07,-2.716
1958-08,-2.51
1958-09,-1.79
1958-10,-1.346
1958-11,-1.081
1958-12,-0.91
1959-01,-0.876
1959-02,-0.885
1959-03,-0.8
1959-04,-0.544
1959-05,-0.416
1959-06,-0.271
1959-07,0
1959-08,0.403
1959-09,0.841
1959-10,1.285
1959-11,1.607
1959-12,1.746
1960-01,1.683
1960-02,1.485
1960-03,0.993
1960-04,0.648
1960-05,0.577
1960-06,0.577
1960-07,0.632
1960-08,0.747
1960-09,0.9
1960-10,0.993
1960-11,0.968
1960-12,0.79
1961-01,0.399
1961-02,-0.161
1961-03,-0.553
1961-04,-0.603
1961-05,-0.424
1961-06,-0.194
1961-07,-0.049
1961-08,0.06
1961-09,0.161
1961-10,0.301
1961-11,0.517
1961-12,0.566
1962-01,0.56
1962-02,0.573
1962-03,0.592
1962-04,0.671
1962-05,0.933
1962-06,1.337
1962-07,1.46
1962-08,1.353
1962-09,0.772
1962-10,0.218
1962-11,-0.237
1962-12,-0.714
1963-01,-1.099
1963-02,-1.269
1963-03,-1.175
1963-04,-0.676
1963-05,0.033
1963-06,0.556
1963-07,0.643
1963-08,0.484
1963-09,0.109
1963-10,-0.31
1963-11,-0.697
1963-12,-1.047
1964-01,-1.218
1964-02,-1.183
1964-03,-0.873
1964-04,-0.336
1964-05,0.063
1964-06,0.084
1964-07,0
1964-08,0.001
1964-09,0.209
1964-10,0.556
1964-11,0.782
1964-12,0.858
1965-01,0.918
1965-02,0.862
1965-03,0.416
1965-04,-0.336
1965-05,-0.959
1965-06,-1.813
1965-07,-2.378
1965-08,-2.499
1965-09,-2.473
1965-10,-2.33
1965-11,-2.053
1965-12,-1.739
1966-01,-1.261
1966-02,-0.569
1966-03,-0.137
1966-04,-0.024
1966-05,-0.05
1966-06,-0.135
1966-07,-0.276
1966-08,-0.534
1966-09,-0.871
1966-10,-1.243
1966-11,-1.439
1966-12,-1.422
1967-01,-1.175
1967-02,-0.813
1967-03,-0.634
1967-04,-0.582
1967-05,-0.625
1967-06,-0.713
1967-07,-0.848
1967-08,-1.039
1967-09,-1.346
1967-10,-1.628
1967-11,-1.619
1967-12,-1.149
1968-01,-0.488
1968-02,-0.16
1968-03,-0.007
1968-04,-0.092
1968-05,-0.62
1968-06,-1.086
1968-07,-1.525
1968-08,-1.858
1968-09,-2.029
1968-10,-2.024
1968-11,-1.961
1968-12,-1.952
1969-01,-1.794
1969-02,-1.302
1969-03,-1.03
1969-04,-0.918
1969-05,-0.798
1969-06,-0.867
1969-07,-1.047
1969-08,-1.123
1969-09,-0.876
1969-10,-0.395
1969-11,0.185
1969-12,0.662
1970-01,0.709
1970-02,0.605
1970-03,0.501
1970-04,0.603
1970-05,0.943
1970-06,1.223
1970-07,1.249
1970-08,0.824
1970-09,0.102
1970-10,0.025
1970-11,0.382
1970-12,0.922
1971-01,1.032
1971-02,0.866
1971-03,0.527
1971-04,0.093
1971-05,-0.458
1971-06,-0.748
1971-07,-0.947
1971-08,-1.029
1971-09,-0.928
1971-10,-0.645
1971-11,-0.424
1971-12,-0.276
1972-01,-0.158
1972-02,-0.033
1972-03,0.102
1972-04,0.251
1972-05,0.28
1972-06,0
1972-07,-0.493
1972-08,-0.759
1972-09,-0.824
1972-10,-0.74
1972-11,-0.528
1972-12,-0.204
1973-01,0.034
1973-02,0.204
1973-03,0.253
1973-04,0.195
1973-05,0.131
1973-06,0.017
1973-07,-0.182
1973-08,-0.262
