DATE,% WEIGHTED ILI
10/13/02,1.22262
10/20/02,1.33344
10/27/02,1.31929
11/3/02,1.49484
11/10/02,1.47195
11/17/02,1.58094
11/24/02,1.49426
12/1/02,1.40569
12/8/02,1.6141
12/15/02,1.45967
12/22/02,1.59896
12/29/02,2.16697
1/5/03,2.57842
1/12/03,2.38636
1/19/03,1.73621
1/26/03,2.06296
2/2/03,2.58113
2/9/03,2.93909
2/16/03,3.22539
2/23/03,3.06982
3/2/03,3.20044
3/9/03,2.44888
3/16/03,2.1344
3/23/03,1.99866
3/30/03,1.93849
4/6/03,1.41293
4/13/03,1.23472
4/20/03,1.20005
4/27/03,0.910135
5/4/03,0.932265
5/11/03,0.692175
5/18/03,0.669406
5/25/03,0.727705
6/1/03,0.717701
6/8/03,0.789394
6/15/03,0.722129
6/22/03,0.591326
6/29/03,0.52307
7/6/03,0.450236
7/13/03,0.397421
7/20/03,0.448002
7/27/03,0.474767
8/3/03,0.453251
8/10/03,0.352158
8/17/03,0.525322
8/24/03,0.492991
8/31/03,0.542728
9/7/03,0.490347
9/14/03,0.735914
9/21/03,0.581771
9/28/03,0.654162
10/5/03,0.749504
10/12/03,0.884021
10/19/03,1.02773
10/26/03,1.28296
11/2/03,1.32661
11/9/03,1.77304
11/16/03,2.43814
11/23/03,2.72605
11/30/03,3.73192
12/7/03,4.54894
12/14/03,5.39906
12/21/03,7.38735
12/28/03,7.48097
1/4/04,7.62797
1/11/04,5.14051
1/18/04,2.10429
1/25/04,1.88696
2/1/04,1.7766
2/8/04,1.46001
2/15/04,1.37787
2/22/04,1.30532
2/29/04,1.08691
3/7/04,0.991888
3/14/04,1.02765
3/21/04,1.0579
3/28/04,0.849361
4/4/04,0.747127
4/11/04,0.661708
4/18/04,0.679514
4/25/04,0.633071
5/2/04,0.569894
5/9/04,0.591357
5/16/04,0.589044
5/23/04,0.67864
5/30/04,0.637558
6/6/04,0.813309
6/13/04,0.834551
6/20/04,0.616174
6/27/04,0.513286
7/4/04,0.351881
7/11/04,0.542621
7/18/04,0.581036
7/25/04,0.495486
8/1/04,0.61209
8/8/04,0.531491
8/15/04,0.519987
8/22/04,0.574476
8/29/04,0.663175
9/5/04,0.614691
9/12/04,0.656823
9/19/04,0.723016
9/26/04,0.691857
10/3/04,0.782758
10/10/04,0.982275
10/17/04,1.01821
10/24/04,1.1768
10/31/04,1.30121
11/7/04,1.27746
11/14/04,1.40387
11/21/04,1.40301
11/28/04,1.73975
12/5/04,1.56894
12/12/04,1.65927
12/19/04,1.81341
12/26/04,2.37626
1/2/05,2.77052
1/9/05,2.40064
1/16/05,2.54155
1/23/05,2.85871
1/30/05,3.55011
2/6/05,4.58591
2/13/05,5.05809
2/20/05,5.44151
2/27/05,4.4729
3/6/05,3.6752
3/13/05,3.3353
3/20/05,2.76224
3/27/05,2.46844
4/3/05,2.00081
4/10/05,1.54319
4/17/05,1.50195
4/24/05,1.22918
5/1/05,1.21854
5/8/05,1.15832
5/15/05,1.249
5/22/05,1.16888
5/29/05,1.07888
6/5/05,1.23059
6/12/05,1.14747
6/19/05,1.00254
6/26/05,0.957569
7/3/05,0.894837
7/10/05,0.798205
7/17/05,0.757812
7/24/05,0.825963
7/31/05,0.744927
8/7/05,0.787049
8/14/05,0.684724
8/21/05,0.747361
8/28/05,0.673974
9/4/05,0.869662
9/11/05,0.899529
9/18/05,0.854635
9/25/05,1.01123
10/2/05,0.977808
10/9/05,1.17778
10/16/05,1.21947
10/23/05,1.3069
10/30/05,1.33931
11/6/05,1.58374
11/13/05,1.47072
11/20/05,1.6112
11/27/05,1.82699
12/4/05,1.77482
12/11/05,1.94451
12/18/05,2.35512
12/25/05,3.10878
1/1/06,3.28238
1/8/06,2.62914
1/15/06,2.2515
1/22/06,2.35858
1/29/06,2.41881
2/5/06,2.52752
2/12/06,2.64954
2/19/06,3.12935
2/26/06,3.12442
3/5/06,3.13099
3/12/06,3.08261
3/19/06,2.64431
3/26/06,2.42295
4/2/06,2.31141
4/9/06,1.86383
4/16/06,1.44943
4/23/06,1.30227
4/30/06,1.13459
5/7/06,1.06255
5/14/06,1.03428
5/21/06,1.01791
5/28/06,0.918151
6/4/06,0.93099
6/11/06,0.857294
6/18/06,0.786294
6/25/06,0.719426
7/2/06,0.718868
7/9/06,0.774807
7/16/06,0.76598
7/23/06,0.642809
7/30/06,0.622033
8/6/06,0.616326
8/13/06,0.685694
8/20/06,0.622697
8/27/06,0.611817
9/3/06,0.638831
9/10/06,0.806627
9/17/06,0.762448
9/24/06,0.813406
10/1/06,0.807934
10/8/06,1.15384
10/15/06,1.14819
10/22/06,1.22736
10/29/06,1.21744
11/5/06,1.32813
11/12/06,1.47754
11/19/06,1.5339
11/26/06,1.91269
12/3/06,1.838
12/10/06,1.95376
12/17/06,2.40407
12/24/06,2.87453
12/31/06,3.02597
1/7/07,2.37817
1/14/07,2.09232
1/21/07,2.29396
1/28/07,2.74501
2/4/07,3.04434
2/11/07,3.49999
2/18/07,3.57851
2/25/07,3.28979
3/4/07,2.89149
3/11/07,2.62075
3/18/07,2.53387
3/25/07,2.07251
4/1/07,1.87084
4/8/07,1.40042
4/15/07,1.46887
4/22/07,1.15514
4/29/07,1.07901
5/6/07,0.98492
5/13/07,1.03325
5/20/07,0.926649
5/27/07,0.9201
6/3/07,0.954094
6/10/07,0.763278
6/17/07,0.81722
6/24/07,0.764586
7/1/07,0.793127
7/8/07,0.66909
7/15/07,0.62115
7/22/07,0.603659
7/29/07,0.649058
8/5/07,0.568338
8/12/07,0.651546
8/19/07,0.652176
8/26/07,0.803849
9/2/07,0.787458
9/9/07,0.943263
9/16/07,0.946932
9/23/07,0.987146
9/30/07,1.05206
10/7/07,0.995184
10/14/07,1.22003
10/21/07,1.28548
10/28/07,1.3775
11/4/07,1.46725
11/11/07,1.55841
11/18/07,1.61958
11/25/07,1.8112
12/2/07,1.61865
12/9/07,1.62124
12/16/07,1.67351
12/23/07,1.95096
12/30/07,2.50019
1/13/08,2.43939
1/20/08,2.29319
1/27/08,2.62907
2/3/08,3.92966
2/10/08,4.99202
2/17/08,5.7776
2/24/08,5.98318
3/2/08,5.61677
3/9/08,4.53234
3/16/08,3.83249
3/23/08,3.21522
3/30/08,2.69245
4/6/08,2.03366
4/13/08,1.65275
4/20/08,1.3113
4/27/08,1.1652
5/4/08,1.02035
5/11/08,0.877607
5/18/08,0.825107
5/25/08,0.787315
6/1/08,0.805439
6/8/08,0.886061
6/15/08,0.743743
6/22/08,0.706842
6/29/08,0.655943
7/6/08,0.633492
7/13/08,0.571837
7/20/08,0.558278
7/27/08,0.597893
8/3/08,0.577222
8/10/08,0.596987
8/17/08,0.564653
8/24/08,0.585682
8/31/08,0.503985
9/7/08,0.468139
9/14/08,0.576455
9/21/08,0.681361
9/28/08,0.794764
10/5/08,0.868116
10/12/08,1.06828
10/19/08,1.00756
10/26/08,0.979399
11/2/08,1.04943
11/9/08,1.13218
11/16/08,1.13156
11/23/08,1.15469
11/30/08,1.20448
12/7/08,1.36081
12/14/08,1.30322
12/21/08,1.30204
12/28/08,1.45109
1/4/09,1.79927
1/11/09,2.12134
1/18/09,1.61555
1/25/09,1.95333
2/1/09,2.42907
2/8/09,2.96686
2/15/09,3.57354
2/22/09,3.36653
3/1/09,3.2962
3/8/09,3.17227
3/15/09,2.5804
3/22/09,2.42922
3/29/09,1.99028
4/5/09,1.72423
4/12/09,1.60355
4/19/09,1.28418
4/26/09,1.2932
5/3/09,2.74012
5/10/09,2.22391
5/17/09,1.76657
5/24/09,1.92171
5/31/09,1.8611
6/7/09,1.68423
6/14/09,1.7393
6/21/09,1.83001
6/28/09,1.58128
7/5/09,1.49172
7/12/09,1.389
7/19/09,1.34702
7/26/09,1.16056
8/2/09,1.2085
8/9/09,1.15544
8/16/09,1.14518
8/23/09,1.4664
8/30/09,2.38017
9/6/09,3.44681
9/13/09,4.05315
9/20/09,4.26621
9/27/09,4.21579
10/4/09,4.8861
10/11/09,6.06923
10/18/09,7.09467
10/25/09,7.7151
11/1/09,7.55134
11/8/09,6.67118
11/15/09,5.20633
11/22/09,4.04477
11/29/09,3.49722
12/6/09,2.69023
12/13/09,2.47119
12/20/09,2.44773
12/27/09,2.64594
1/3/10,2.61567
1/10/10,1.90712
1/17/10,1.86738
1/24/10,1.88072
1/31/10,1.96908
2/7/10,2.11387
2/14/10,2.09695
2/21/10,1.90294
2/28/10,1.96951
3/7/10,1.92331
3/14/10,1.89659
3/21/10,1.75181
3/28/10,1.52632
4/4/10,1.49572
4/11/10,1.22313
4/18/10,1.17754
4/25/10,1.09112
5/2/10,1.11958
5/9/10,1.08169
5/16/10,1.12497
5/23/10,1.06197
5/30/10,1.08909
6/6/10,1.1776
6/13/10,0.97493
6/20/10,0.987132
6/27/10,0.995991
7/4/10,0.904726
7/11/10,0.941927
7/18/10,0.880415
7/25/10,0.842615
8/1/10,0.858382
8/8/10,0.83383
