DATE,AGE 25-49
10/11/09,8554
10/18/09,10271
10/25/09,12399
11/1/09,12166
11/8/09,10250
11/15/09,8174
11/22/09,6163
11/29/09,4378
12/6/09,4259
12/13/09,3588
12/20/09,3249
12/27/09,2677
1/3/10,3202
1/10/10,3333
1/17/10,2793
1/24/10,2693
1/31/10,2560
2/7/10,2581
2/14/10,2644
2/21/10,2649
2/28/10,2943
3/7/10,2763
3/14/10,2660
3/21/10,2468
3/28/10,2097
4/4/10,1954
4/11/10,1718
4/18/10,1572
4/25/10,1461
5/2/10,1435
5/9/10,1385
5/16/10,1363
5/23/10,1364
5/30/10,1235
6/6/10,1212
6/13/10,1081
6/20/10,978
6/27/10,882
7/4/10,862
7/11/10,816
7/18/10,819
7/25/10,759
8/1/10,805
8/8/10,839
8/15/10,809
8/22/10,883
8/29/10,811
9/5/10,1019
9/12/10,1076
9/19/10,1061
9/26/10,1291
10/3/10,1269
10/10/10,1677
10/17/10,1779
10/24/10,1898
10/31/10,1754
11/7/10,1981
11/14/10,1956
11/21/10,2327
11/28/10,2043
12/5/10,2440
12/12/10,2511
12/19/10,2847
12/26/10,3433
1/2/11,4455
1/9/11,4455
1/16/11,4220
1/23/11,5095
1/30/11,5952
2/6/11,6536
2/13/11,6812
2/20/11,7257
2/27/11,6425
3/6/11,4869
3/13/11,3939
3/20/11,3265
3/27/11,2551
4/3/11,2244
4/10/11,1985
4/17/11,1574
4/24/11,1505
5/1/11,1324
5/8/11,1305
5/15/11,1254
5/22/11,1131
5/29/11,1045
6/5/11,1013
6/12/11,1037
6/19/11,911
6/26/11,870
7/3/11,750
7/10/11,823
7/17/11,756
7/24/11,733
7/31/11,667
8/7/11,635
8/14/11,704
8/21/11,767
8/28/11,814
9/4/11,887
9/11/11,904
9/18/11,1022
9/25/11,1126
10/2/11,1253
10/9/11,1765
10/16/11,1777
10/23/11,1763
10/30/11,1773
11/6/11,1957
11/13/11,2072
11/20/11,2166
11/27/11,1803
12/4/11,2059
12/11/11,1938
12/18/11,2077
12/25/11,2068
1/1/12,2315
1/8/12,2342
1/15/12,2319
1/22/12,2247
1/29/12,2303
2/5/12,2415
2/12/12,2582
2/19/12,2937
2/26/12,3009
3/4/12,3141
3/11/12,2832
3/18/12,3321
3/25/12,2822
4/1/12,2485
4/8/12,2306
4/15/12,2109
4/22/12,1990
4/29/12,1831
5/6/12,1728
5/13/12,1559
5/20/12,1547
5/27/12,1461
6/3/12,1276
6/10/12,1281
6/17/12,1150
6/24/12,1119
7/1/12,1058
7/8/12,1013
7/15/12,964
7/22/12,914
7/29/12,975
8/5/12,1050
8/12/12,989
8/19/12,986
8/26/12,1194
9/2/12,1305
9/9/12,1317
9/16/12,1408
9/23/12,1530
9/30/12,1546
10/7/12,1814
10/14/12,1957
10/21/12,1902
10/28/12,2012
11/4/12,2032
11/11/12,2330
11/18/12,2569
11/25/12,2824
12/2/12,3950
12/9/12,4672
12/16/12,5692
12/23/12,7437
12/30/12,9295
1/13/13,9679
1/20/13,10877
1/27/13,8977
2/3/13,7021
2/10/13,6421
2/17/13,5236
2/24/13,4698
3/3/13,4357
3/10/13,4030
3/17/13,3935
3/24/13,3606
3/31/13,3191
4/7/13,2924
4/14/13,2677
4/21/13,2219
4/28/13,1757
5/5/13,1630
5/12/13,1470
5/19/13,1474
5/26/13,1345
6/2/13,1279
6/9/13,1147
6/16/13,1086
6/23/13,1112
6/30/13,1040
7/7/13,947
7/14/13,851
7/21/13,862
7/28/13,849
8/4/13,800
8/11/13,852
8/18/13,870
8/25/13,919
9/1/13,892
9/8/13,1014
9/15/13,1137
9/22/13,1217
9/29/13,1350
10/6/13,1500
10/13/13,1840
10/20/13,1924
10/27/13,2010
11/3/13,2292
11/10/13,2354
11/17/13,2511
11/24/13,2716
12/1/13,3088
12/8/13,3027
12/15/13,4375
12/22/13,4458
12/29/13,6525
1/5/14,7499
1/12/14,9135
1/19/14,8846
1/26/14,8091
2/2/14,6818
2/9/14,6031
2/16/14,5278
2/23/14,4470
3/2/14,4306
3/9/14,3691
3/16/14,3472
3/23/14,3210
3/30/14,3285
4/6/14,3256
4/13/14,3153
4/20/14,2943
4/27/14,2516
5/4/14,2504
5/11/14,2084
5/18/14,2009
5/25/14,1876
6/1/14,1742
6/8/14,1542
6/15/14,1492
6/22/14,1413
6/29/14,1285
7/6/14,1235
7/13/14,1075
7/20/14,1122
7/27/14,1116
8/3/14,1128
8/10/14,1094
8/17/14,1074
8/24/14,1107
8/31/14,1196
9/7/14,1223
9/14/14,1284
9/21/14,1550
9/28/14,1705
10/5/14,1820
10/12/14,1959
10/19/14,2116
10/26/14,2321
