DATE,AGE 65
10/13/02,149
10/20/02,127
10/27/02,113
11/3/02,154
11/10/02,154
11/17/02,180
11/24/02,175
12/1/02,182
12/8/02,186
12/15/02,206
12/22/02,182
12/29/02,212
1/5/03,177
1/12/03,251
1/19/03,274
1/26/03,241
2/2/03,221
2/9/03,282
2/16/03,308
2/23/03,291
3/2/03,308
3/9/03,287
3/16/03,247
3/23/03,274
3/30/03,156
4/6/03,159
4/13/03,135
4/20/03,163
4/27/03,106
5/4/03,114
5/11/03,84
5/18/03,74
5/25/03,70
6/1/03,45
6/8/03,44
6/15/03,34
6/22/03,55
6/29/03,34
7/6/03,32
7/13/03,24
7/20/03,43
7/27/03,53
8/3/03,48
8/10/03,39
8/17/03,46
8/24/03,37
8/31/03,27
9/7/03,30
9/14/03,36
9/21/03,24
9/28/03,26
10/5/03,34
10/12/03,146
10/19/03,191
10/26/03,195
11/2/03,216
11/9/03,276
11/16/03,264
11/23/03,310
11/30/03,471
12/7/03,672
12/14/03,1067
12/21/03,1219
12/28/03,1508
1/4/04,1331
1/11/04,1220
1/18/04,461
1/25/04,360
2/1/04,339
2/8/04,302
2/15/04,218
2/22/04,259
2/29/04,203
3/7/04,227
3/14/04,178
3/21/04,175
3/28/04,179
4/4/04,142
4/11/04,116
4/18/04,131
4/25/04,142
5/2/04,108
5/9/04,85
5/16/04,74
5/23/04,94
5/30/04,66
6/6/04,73
6/13/04,66
6/20/04,46
6/27/04,81
7/4/04,62
7/11/04,62
7/18/04,80
7/25/04,38
8/1/04,40
8/8/04,60
8/15/04,63
8/22/04,58
8/29/04,44
9/5/04,71
9/12/04,60
9/19/04,68
9/26/04,83
10/3/04,82
10/10/04,185
10/17/04,216
10/24/04,226
10/31/04,285
11/7/04,291
11/14/04,319
11/21/04,299
11/28/04,271
12/5/04,376
12/12/04,375
12/19/04,371
12/26/04,418
1/2/05,621
1/9/05,712
1/16/05,611
1/23/05,608
1/30/05,725
2/6/05,958
2/13/05,1132
2/20/05,1182
2/27/05,1026
3/6/05,836
3/13/05,745
3/20/05,604
3/27/05,550
4/3/05,390
4/10/05,330
4/17/05,317
4/24/05,306
5/1/05,224
5/8/05,189
5/15/05,208
5/22/05,200
5/29/05,156
6/5/05,160
6/12/05,140
6/19/05,125
6/26/05,110
7/3/05,84
7/10/05,69
7/17/05,75
7/24/05,68
7/31/05,56
8/7/05,58
8/14/05,57
8/21/05,47
8/28/05,54
9/4/05,51
9/11/05,63
9/18/05,52
9/25/05,50
10/2/05,63
10/9/05,234
10/16/05,197
10/23/05,212
10/30/05,213
11/6/05,282
11/13/05,295
11/20/05,315
11/27/05,294
12/4/05,349
12/11/05,387
12/18/05,396
12/25/05,530
1/1/06,721
1/8/06,734
1/15/06,534
1/22/06,460
1/29/06,544
2/5/06,498
2/12/06,537
2/19/06,631
2/26/06,791
3/5/06,767
3/12/06,678
3/19/06,607
3/26/06,541
4/2/06,478
4/9/06,342
4/16/06,285
4/23/06,239
4/30/06,180
5/7/06,190
5/14/06,187
5/21/06,162
5/28/06,146
6/4/06,108
6/11/06,131
6/18/06,81
6/25/06,100
7/2/06,92
7/9/06,71
7/16/06,108
7/23/06,112
7/30/06,128
8/6/06,88
8/13/06,82
8/20/06,91
8/27/06,76
9/3/06,77
9/10/06,69
9/17/06,78
9/24/06,80
10/1/06,81
10/8/06,264
10/15/06,200
10/22/06,265
10/29/06,224
11/5/06,281
11/12/06,314
11/19/06,290
