DATE,TOTAL PATIENTS
10/13/02,176569
10/20/02,186355
10/27/02,192469
11/3/02,207512
11/10/02,223208
11/17/02,229454
11/24/02,223712
12/1/02,223818
12/8/02,188814
12/15/02,243078
12/22/02,235136
12/29/02,216179
1/5/03,144287
1/12/03,171193
1/19/03,234513
1/26/03,231550
2/2/03,235566
2/9/03,246969
2/16/03,245751
2/23/03,253656
3/2/03,241110
3/9/03,241683
3/16/03,228549
3/23/03,220250
3/30/03,196724
4/6/03,198913
4/13/03,192349
4/20/03,194383
4/27/03,177577
5/4/03,176111
5/11/03,170406
5/18/03,157191
5/25/03,142514
6/1/03,95728
6/8/03,81063
6/15/03,79090
6/22/03,78023
6/29/03,72110
7/6/03,71593
7/13/03,64699
7/20/03,72972
7/27/03,69593
8/3/03,71103
8/10/03,71466
8/17/03,69844
8/24/03,69003
8/31/03,70178
9/7/03,70000
9/14/03,65474
9/21/03,74328
9/28/03,72401
10/5/03,71273
10/12/03,254144
10/19/03,281045
10/26/03,287436
11/2/03,312412
11/9/03,331980
11/16/03,335258
11/23/03,348359
11/30/03,358275
12/7/03,272576
12/14/03,392274
12/21/03,388269
12/28/03,345097
1/4/04,232344
1/11/04,248992
1/18/04,308614
1/25/04,289774
2/1/04,287586
2/8/04,295646
2/15/04,288762
2/22/04,282347
2/29/04,281202
3/7/04,271597
3/14/04,257294
3/21/04,243802
3/28/04,248805
4/4/04,234998
4/11/04,212432
4/18/04,209178
4/25/04,203802
5/2/04,194708
5/9/04,184038
5/16/04,168276
5/23/04,155386
5/30/04,133008
6/6/04,120884
6/13/04,133117
6/20/04,128740
6/27/04,124037
7/4/04,124146
7/11/04,90238
7/18/04,97135
7/25/04,95515
8/1/04,92216
8/8/04,116693
8/15/04,89644
8/22/04,95481
8/29/04,91326
9/5/04,96656
9/12/04,104207
9/19/04,118343
9/26/04,117483
10/3/04,114857
10/10/04,353449
10/17/04,355116
10/24/04,378094
10/31/04,380921
11/7/04,377692
11/14/04,380718
11/21/04,387182
11/28/04,295546
12/5/04,387004
12/12/04,374356
12/19/04,355806
12/26/04,259639
1/2/05,283617
1/9/05,369455
1/16/05,378024
1/23/05,368678
1/30/05,405254
2/6/05,406772
2/13/05,421461
2/20/05,419426
2/27/05,397883
3/6/05,383196
3/13/05,367292
3/20/05,355454
3/27/05,335940
4/3/05,334438
4/10/05,315823
4/17/05,314948
4/24/05,305833
5/1/05,302065
5/8/05,277120
5/15/05,263009
5/22/05,238494
5/29/05,194550
6/5/05,167661
6/12/05,171960
6/19/05,154899
6/26/05,170645
7/3/05,160216
7/10/05,142302
7/17/05,157068
7/24/05,149699
7/31/05,147612
8/7/05,142468
8/14/05,145121
8/21/05,150673
8/28/05,151290
9/4/05,151854
9/11/05,136817
9/18/05,150127
9/25/05,156067
10/2/05,149205
10/9/05,333164
10/16/05,338343
10/23/05,369609
10/30/05,377999
11/6/05,398840
11/13/05,376924
11/20/05,382697
11/27/05,298578
12/4/05,402264
12/11/05,385248
12/18/05,383548
12/25/05,333921
1/1/06,289638
1/8/06,343871
1/15/06,393716
1/22/06,381699
1/29/06,411882
2/5/06,411291
2/12/06,418286
2/19/06,401661
2/26/06,400827
3/5/06,399459
3/12/06,405365
3/19/06,376971
3/26/06,369804
4/2/06,362605
4/9/06,349662
4/16/06,334760
4/23/06,310641
4/30/06,305389
5/7/06,288278
5/14/06,276338
5/21/06,256267
5/28/06,231075
6/4/06,190252
6/11/06,213847
6/18/06,169353
6/25/06,167770
7/2/06,154741
7/9/06,139216
7/16/06,175259
7/23/06,172654
7/30/06,172581
8/6/06,161937
8/13/06,168024
8/20/06,167183
8/27/06,154071
9/3/06,153390
9/10/06,144289
9/17/06,159603
9/24/06,157627
10/1/06,160732
10/8/06,375076
10/15/06,384920
10/22/06,419005
10/29/06,434287
11/5/06,445334
11/12/06,454901
