Week,Gasoline
2/8/91,6621
2/15/91,6433
2/22/91,6582
3/1/91,7224
3/8/91,6875
3/15/91,6947
3/22/91,7328
3/29/91,6777
4/5/91,7503
4/12/91,6916
4/19/91,7045
4/26/91,6956
5/3/91,6976
5/10/91,7185
5/17/91,6899
5/24/91,7396
5/31/91,7287
6/7/91,7220
6/14/91,7651
6/21/91,7720
6/28/91,7543
7/5/91,7961
7/12/91,7327
7/19/91,7380
7/26/91,7501
8/2/91,7605
8/9/91,7584
8/16/91,7401
8/23/91,7505
8/30/91,7427
9/6/91,6993
9/13/91,7402
9/20/91,7391
9/27/91,7088
10/4/91,6949
10/11/91,7506
10/18/91,7396
10/25/91,7421
11/1/91,7159
11/8/91,7379
11/15/91,7369
11/22/91,6652
11/29/91,6769
12/6/91,6828
12/13/91,7344
12/20/91,7447
12/27/91,7186
1/3/92,6642
1/10/92,6788
1/17/92,6783
1/24/92,7037
1/31/92,7112
2/7/92,7039
2/14/92,6576
2/21/92,7002
2/28/92,6770
3/6/92,7002
3/13/92,6806
3/20/92,7221
3/27/92,7379
4/3/92,7027
4/10/92,7744
4/17/92,6464
4/24/92,7376
5/1/92,7899
5/8/92,7318
5/15/92,7174
5/22/92,7086
5/29/92,7774
6/5/92,7104
6/12/92,7129
6/19/92,7407
6/26/92,7701
7/3/92,7572
7/10/92,7813
7/17/92,7422
7/24/92,7792
7/31/92,7433
8/7/92,7796
8/14/92,7700
8/21/92,7365
8/28/92,7814
9/4/92,7326
9/11/92,7473
9/18/92,7181
9/25/92,7286
10/2/92,7293
10/9/92,7514
10/16/92,7204
10/23/92,7276
10/30/92,7509
11/6/92,6923
11/13/92,7056
11/20/92,7240
11/27/92,7138
12/4/92,7432
12/11/92,7354
12/18/92,7400
12/25/92,7596
1/1/93,7358
1/8/93,6852
1/15/93,6726
1/22/93,7131
1/29/93,6603
2/5/93,7322
2/12/93,6779
2/19/93,7325
2/26/93,6961
3/5/93,7188
3/12/93,7100
3/19/93,7239
3/26/93,7194
4/2/93,6964
4/9/93,6797
4/16/93,7561
4/23/93,7392
4/30/93,7470
5/7/93,7657
5/14/93,7649
5/21/93,7295
5/28/93,7364
6/4/93,7018
6/11/93,7740
6/18/93,7392
6/25/93,7804
7/2/93,7868
7/9/93,7578
7/16/93,8113
7/23/93,7916
7/30/93,7336
8/6/93,8033
8/13/93,7581
8/20/93,8187
8/27/93,7629
9/3/93,7386
9/10/93,7889
9/17/93,7478
9/24/93,7485
10/1/93,7387
10/8/93,7276
10/15/93,7613
10/22/93,7704
10/29/93,7788
11/5/93,7640
11/12/93,7552
11/19/93,7992
11/26/93,6845
12/3/93,7430
12/10/93,8074
12/17/93,7684
12/24/93,7411
12/31/93,7567
1/7/94,7124
1/14/94,7124
1/21/94,7157
1/28/94,6321
2/4/94,6953
2/11/94,7487
2/18/94,6993
2/25/94,7372
3/4/94,7286
3/11/94,7214
3/18/94,7521
3/25/94,7481
4/1/94,7398
4/8/94,7187
4/15/94,7720
4/22/94,7042
4/29/94,7892
5/6/94,6824
5/13/94,7552
5/20/94,7938
5/27/94,8028
6/3/94,7461
6/10/94,7770
6/17/94,7650
6/24/94,7909
7/1/94,7930
7/8/94,7562
7/15/94,8006
7/22/94,7523
7/29/94,7581
8/5/94,7638
8/12/94,8187
8/19/94,7836
8/26/94,7750
9/2/94,8061
9/9/94,6955
9/16/94,7601
9/23/94,7763
9/30/94,7733
10/7/94,7515
10/14/94,7562
10/21/94,8143
10/28/94,8204
11/4/94,7432
11/11/94,7377
11/18/94,7929
11/25/94,7431
12/2/94,7593
12/9/94,8229
12/16/94,7933
12/23/94,8278
12/30/94,7718
1/6/95,7134
1/13/95,7534
1/20/95,7260
1/27/95,6976
2/3/95,7267
2/10/95,7132
2/17/95,7398
2/24/95,7670
3/3/95,7194
3/10/95,7548
3/17/95,7834
3/24/95,7797
3/31/95,8195
4/7/95,7588
4/14/95,7543
4/21/95,8156
4/28/95,7731
5/5/95,7539
5/12/95,8052
5/19/95,8183
5/26/95,7797
6/2/95,8460
6/9/95,8055
6/16/95,7971
6/23/95,8489
6/30/95,8238
7/7/95,7996
7/14/95,7866
7/21/95,8483
7/28/95,8213
8/4/95,8402
8/11/95,7628
8/18/95,8411
8/25/95,8206
9/1/95,7825
9/8/95,8078
9/15/95,8249
9/22/95,7821
9/29/95,7257
10/6/95,8106
10/13/95,7879
10/20/95,7712
10/27/95,8103
11/3/95,7449
11/10/95,8477
11/17/95,8021
11/24/95,7840
12/1/95,7439
12/8/95,7949
12/15/95,7489
12/22/95,8115
12/29/95,7035
1/5/96,7958
1/12/96,7513
1/19/96,6949
1/26/96,7393
2/2/96,7513
