date,Y
1/1/80,15136
2/1/80,16733
3/1/80,20016
4/1/80,17708
5/1/80,18019
6/1/80,19227
7/1/80,22893
8/1/80,23739
9/1/80,21133
10/1/80,22591
11/1/80,26786
12/1/80,29740
1/1/81,15028
2/1/81,17977
3/1/81,20008
4/1/81,21354
5/1/81,19498
6/1/81,22125
7/1/81,25817
8/1/81,28779
9/1/81,20960
10/1/81,22254
11/1/81,27392
12/1/81,29945
1/1/82,16933
2/1/82,17892
3/1/82,20533
4/1/82,23569
5/1/82,22417
6/1/82,22084
7/1/82,26580
8/1/82,27454
9/1/82,24081
10/1/82,23451
11/1/82,28991
12/1/82,31386
1/1/83,16896
2/1/83,20045
3/1/83,23471
4/1/83,21747
5/1/83,25621
6/1/83,23859
7/1/83,25500
8/1/83,30998
9/1/83,24475
10/1/83,23145
11/1/83,29701
12/1/83,34365
1/1/84,17556
2/1/84,22077
3/1/84,25702
4/1/84,22214
5/1/84,26886
6/1/84,23191
7/1/84,27831
8/1/84,35406
9/1/84,23195
10/1/84,25110
11/1/84,30009
12/1/84,36242
1/1/85,18450
2/1/85,21845
3/1/85,26488
4/1/85,22394
5/1/85,28057
6/1/85,25451
7/1/85,24872
8/1/85,33424
9/1/85,24052
10/1/85,28449
11/1/85,33533
12/1/85,37351
1/1/86,19969
2/1/86,21701
3/1/86,26249
4/1/86,24493
5/1/86,24603
6/1/86,26485
7/1/86,30723
8/1/86,34569
9/1/86,26689
10/1/86,26157
11/1/86,32064
12/1/86,38870
1/1/87,21337
2/1/87,19419
3/1/87,23166
4/1/87,28286
5/1/87,24570
6/1/87,24001
7/1/87,33151
8/1/87,24878
9/1/87,26804
10/1/87,28967
11/1/87,33311
12/1/87,40226
1/1/88,20504
2/1/88,23060
3/1/88,23562
4/1/88,27562
5/1/88,23940
6/1/88,24584
7/1/88,34303
8/1/88,25517
9/1/88,23494
10/1/88,29095
11/1/88,32903
12/1/88,34379
1/1/89,16991
2/1/89,21109
3/1/89,23740
4/1/89,25552
5/1/89,21752
6/1/89,20294
7/1/89,29009
8/1/89,25500
9/1/89,24166
10/1/89,26960
11/1/89,31222
12/1/89,38641
1/1/90,14672
2/1/90,17543
3/1/90,25453
4/1/90,32683
5/1/90,22449
6/1/90,22316
7/1/90,27595
8/1/90,25451
9/1/90,25421
10/1/90,25288
11/1/90,32568
12/1/90,35110
1/1/91,16052
2/1/91,22146
3/1/91,21198
4/1/91,19543
5/1/91,22084
6/1/91,23816
7/1/91,29961
8/1/91,26773
9/1/91,26635
10/1/91,26972
11/1/91,30207
12/1/91,38687
1/1/92,16974
2/1/92,21697
3/1/92,24179
4/1/92,23757
5/1/92,25013
6/1/92,24019
7/1/92,30345
8/1/92,24488
9/1/92,25156
10/1/92,25650
11/1/92,30923
12/1/92,37240
1/1/93,17466
2/1/93,19463
3/1/93,24352
4/1/93,26805
5/1/93,25236
6/1/93,24735
7/1/93,29356
8/1/93,31234
9/1/93,22724
10/1/93,28496
11/1/93,32857
12/1/93,37198
1/1/94,13652
2/1/94,22784
3/1/94,23565
4/1/94,26323
5/1/94,23779
6/1/94,27549
7/1/94,29660
8/1/94,23356
