date,Y
1/1/65,6172
4/1/65,6709
7/1/65,6633
10/1/65,6660
1/1/66,6786
4/1/66,6800
7/1/66,6730
10/1/66,6765
1/1/67,6720
4/1/67,7133
7/1/67,6946
10/1/67,7095
1/1/68,7047
4/1/68,6757
7/1/68,6915
10/1/68,6921
1/1/69,7064
4/1/69,7206
7/1/69,7190
10/1/69,7402
1/1/70,7819
4/1/70,7300
7/1/70,7105
10/1/70,7259
1/1/71,7001
4/1/71,7475
7/1/71,6840
10/1/71,7061
1/1/72,5845
4/1/72,7529
7/1/72,7819
10/1/72,6943
1/1/73,5714
4/1/73,6556
7/1/73,7045
10/1/73,5947
1/1/74,5463
4/1/74,6127
7/1/74,5540
10/1/74,4235
1/1/75,3324
4/1/75,4793
7/1/75,5906
10/1/75,5834
1/1/76,5240
4/1/76,5458
7/1/76,5505
10/1/76,5002
1/1/77,3999
4/1/77,4826
7/1/77,5318
10/1/77,4681
1/1/78,4442
4/1/78,5305
7/1/78,5466
10/1/78,4995
1/1/79,4573
4/1/79,5081
7/1/79,5696
10/1/79,5079
1/1/80,4373
4/1/80,4986
7/1/80,5341
10/1/80,4800
1/1/81,4161
4/1/81,5007
7/1/81,5464
10/1/81,5127
1/1/82,4240
4/1/82,5338
7/1/82,5129
10/1/82,4437
1/1/83,3642
4/1/83,4602
7/1/83,5524
10/1/83,4895
1/1/84,4380
4/1/84,5186
7/1/84,6080
10/1/84,5588
1/1/85,5009
4/1/85,5663
7/1/85,6540
10/1/85,6262
1/1/86,5169
4/1/86,5819
7/1/86,6339
10/1/86,5981
1/1/87,4766
4/1/87,5976
7/1/87,6590
10/1/87,5590
1/1/88,5135
4/1/88,5762
7/1/88,6077
10/1/88,5882
1/1/89,4247
4/1/89,5264
7/1/89,5146
10/1/89,4868
1/1/90,4329
4/1/90,4869
7/1/90,5127
10/1/90,4868
1/1/91,3827
4/1/91,4987
7/1/91,5222
10/1/91,4928
1/1/92,3930
4/1/92,4469
7/1/92,4954
10/1/92,4752
1/1/93,3888
4/1/93,4588
7/1/93,5309
10/1/93,4732
1/1/94,4837
4/1/94,6135
7/1/94,6396
